% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3272	0	8	3	0	16	133	3	0	1	1266.5
3272	0	8	6	0	16	133	3	0	1	479.364
3272	0	8	8	0	16	133	3	0	1	72.4241
3272	0	8	10	0	16	133	3	0	1	121.892
3272	0	9	2	0	16	133	3	0	1	121.892
3272	0	9	3	0	16	133	3	0	1	479.364
3272	0	9	6	0	16	133	3	0	1	225.623
3272	0	9	8	0	16	133	3	0	1	46.1354
3272	0	9	10	0	16	133	3	0	1	72.4241
3272	0	10	2	0	16	133	3	0	1	72.4241
3272	0	10	3	0	16	133	3	0	1	225.623
3272	0	10	6	0	16	133	3	0	1	121.892
3272	0	10	8	0	16	133	3	0	1	30.9944
3272	0	10	10	0	16	133	3	0	1	46.1354
3328	0	6	2	0	16	133	0	1	1	1266.5
3328	0	6	3	0	16	133	0	1	1	51752
3328	0	6	6	0	16	133	0	1	1	4980.76
3328	0	6	8	0	16	133	0	1	1	225.623
3328	0	6	10	0	16	133	0	1	1	479.364
3328	0	7	2	0	16	133	0	1	1	479.364
3328	0	7	3	0	16	133	0	1	1	4980.76
3328	0	7	6	0	16	133	0	1	1	1266.5
3328	0	7	8	0	16	133	0	1	1	121.892
3328	0	7	10	0	16	133	0	1	1	225.623
3328	0	8	2	0	16	133	0	1	1	225.623
3328	0	8	3	0	16	133	0	1	1	1266.5
3328	0	8	6	0	16	133	0	1	1	479.364
3328	0	8	8	0	16	133	0	1	1	72.4241
3328	0	8	10	0	16	133	0	1	1	121.892
3328	0	9	2	0	16	133	0	1	1	121.892
3328	0	9	3	0	16	133	0	1	1	479.364
3328	0	9	6	0	16	133	0	1	1	225.623
3328	0	9	8	0	16	133	0	1	1	46.1354
3328	0	9	10	0	16	133	0	1	1	72.4241
3328	0	10	2	0	16	133	0	1	1	72.4241
3328	0	10	3	0	16	133	0	1	1	225.623
3328	0	10	6	0	16	133	0	1	1	121.892
3328	0	10	8	0	16	133	0	1	1	30.9944
3328	0	10	10	0	16	133	0	1	1	46.1354
3336	0	6	2	0	16	133	1	0	1	1266.5
3336	0	6	3	0	16	133	1	0	1	51752
3336	0	6	6	0	16	133	1	0	1	4980.76
3336	0	6	8	0	16	133	1	0	1	225.623
3336	0	6	10	0	16	133	1	0	1	479.364
3336	0	7	2	0	16	133	1	0	1	479.364
3336	0	7	3	0	16	133	1	0	1	4980.76
3336	0	7	6	0	16	133	1	0	1	1266.5
3336	0	7	8	0	16	133	1	0	1	121.892
3336	0	7	10	0	16	133	1	0	1	225.623
3336	0	8	2	0	16	133	1	0	1	225.623
3336	0	8	3	0	16	133	1	0	1	1266.5
3336	0	8	6	0	16	133	1	0	1	479.364
3336	0	8	8	0	16	133	1	0	1	72.4241
3336	0	8	10	0	16	133	1	0	1	121.892
3336	0	9	2	0	16	133	1	0	1	121.892
3336	0	9	3	0	16	133	1	0	1	479.364
3336	0	9	6	0	16	133	1	0	1	225.623
3336	0	9	8	0	16	133	1	0	1	46.1354
3336	0	9	10	0	16	133	1	0	1	72.4241
3336	0	10	2	0	16	133	1	0	1	72.4241
